TCP | 127.0.0.1 | RTT=0.03ms | Throughput=2154608.22
TCP | 127.0.0.1 | RTT=0.02ms | Throughput=2984408.62
TCP | 127.0.0.1 | RTT=0.02ms | Throughput=3355443.20
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1385943.93
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1429876.36
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1338607.66
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1562583.84
TCP | 127.0.0.1 | RTT=0.02ms | Throughput=3427603.27
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1310720.00
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1310720.00
TCP | 127.0.0.1 | RTT=0.04ms | Throughput=1886195.88
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1355364.61
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1339357.58
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1668937.72
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1634703.10
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1475773.63
TCP | 127.0.0.1 | RTT=0.02ms | Throughput=3252725.55
TCP | 127.0.0.1 | RTT=0.02ms | Throughput=3156109.94
TCP | 127.0.0.1 | RTT=0.03ms | Throughput=2967667.92
TCP | 127.0.0.1 | RTT=0.03ms | Throughput=2263113.67
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1290555.08
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1468972.83
TCP | 127.0.0.1 | RTT=0.13ms | Throughput=582755.22
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1221329.90
TCP | 127.0.0.1 | RTT=0.03ms | Throughput=2643468.91
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1356455.76
TCP | 127.0.0.1 | RTT=0.03ms | Throughput=2939932.71
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1356455.76
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1345008.88
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1379705.26
TCP | 127.0.0.1 | RTT=0.02ms | Throughput=3320490.67
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1350097.85
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1398101.33
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1283970.61
TCP | 127.0.0.1 | RTT=0.04ms | Throughput=1741896.74
TCP | 127.0.0.1 | RTT=0.09ms | Throughput=892905.05
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1609934.87
TCP | 127.0.0.1 | RTT=0.03ms | Throughput=2361237.81
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1294538.27
TCP | 127.0.0.1 | RTT=0.04ms | Throughput=1700393.51
TCP | 127.0.0.1 | RTT=0.61ms | Throughput=123937.44
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1191563.64
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1510744.57
TCP | 127.0.0.1 | RTT=0.08ms | Throughput=983849.09
TCP | 127.0.0.1 | RTT=0.04ms | Throughput=1718977.05
TCP | 127.0.0.1 | RTT=0.03ms | Throughput=2701416.14
TCP | 127.0.0.1 | RTT=0.04ms | Throughput=1800944.09
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1348169.14
TCP | 127.0.0.1 | RTT=0.11ms | Throughput=711703.17
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1214566.80
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1301090.22
TCP | 127.0.0.1 | RTT=0.03ms | Throughput=2759410.53
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1230761.02
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1322685.08
TCP | 127.0.0.1 | RTT=0.03ms | Throughput=2747992.28
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1345008.88
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1198372.57
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1448941.38
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1290555.08
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1410473.91
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1385943.93
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1332935.59
TCP | 127.0.0.1 | RTT=0.04ms | Throughput=1695569.70
TCP | 127.0.0.1 | RTT=0.03ms | Throughput=2796202.67
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1245184.00
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1333753.57
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1238475.59
TCP | 127.0.0.1 | RTT=0.03ms | Throughput=2293288.52
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1295801.24
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1463129.30
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1368099.16
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1373996.14
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1368099.16
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1345008.88
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1362252.58
TCP | 127.0.0.1 | RTT=0.02ms | Throughput=3657823.26
TCP | 127.0.0.1 | RTT=0.03ms | Throughput=2885988.99
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1668937.72
TCP | 127.0.0.1 | RTT=0.03ms | Throughput=2924468.84
TCP | 127.0.0.1 | RTT=0.02ms | Throughput=3419269.57
TCP | 127.0.0.1 | RTT=0.03ms | Throughput=2820947.82
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1178175.28
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1549619.70
TCP | 127.0.0.1 | RTT=0.04ms | Throughput=1800944.09
TCP | 127.0.0.1 | RTT=0.02ms | Throughput=3706594.23
TCP | 127.0.0.1 | RTT=0.05ms | Throughput=1385943.93
